name,owner,url,version,creation date,stars,watches,forks,contributors,languages,open issues,closed issues,commits,defect_proneness,last year commit #,description,topics,releases_count,Project Name,Useful Lines of Code (ULOC),Software Lines of Code (SLOC),Duplicate Useful Lines of Code,Classes,Files,Architecture Type,Core,Core Size,Central Size,Propagation Cost,Overly Complex Files,Useful Comment Density
three.js,mrdoob,https://github.com/mrdoob/three.js,2019-08-27T01:35:53Z,2010-03-23T18:58:01Z,54164,2463,20500,953,JavaScript,602,8438,27016,20.76917382291975,3101,JavaScript 3D library.,"['javascript', '3d', 'scene-graph', 'html5', 'svg', 'canvas', 'webgl', 'webvr']",99,mrdoob/three.js,230913,267043,152542,1476,2340,Hierarchical,False,1.7,29.7,0.564,0.8,10.3
atom,atom,https://github.com/atom/atom,2019-08-27T00:53:33Z,2012-01-20T18:18:21Z,49676,2453,12560,439,JavaScript,504,14471,36210,13.12068489367578,0,:atom: The hackable text editor,"['atom', 'editor', 'javascript', 'electron', 'windows', 'linux', 'macos']",528,atom/atom,104926,120306,2487,162,353,Hierarchical,False,0,7.6,0.298,0.0,6.6
webpack,vuejs-templates,https://github.com/vuejs-templates/webpack,2019-08-24T09:51:59Z,2015-12-26T05:25:41Z,9187,295,4444,26,JavaScript,114,831,557,34.64991023339318,2,"A full-featured Webpack + vue-loader setup with hot reload, linting, testing & css extraction.",[],15,webpack/webpack,752,903,0,,29,Hierarchical,False,0,6.9,3.567,0.0,19.3
redux,reduxjs,https://github.com/reduxjs/redux,2019-08-25T00:59:39Z,2015-05-29T23:53:15Z,50281,1497,13084,327,JavaScript,27,1645,2803,25.508383874420264,194,Predictable state container for JavaScript apps,['redux'],60,reduxjs/redux,6263,7874,291,15,218,Hierarchical,False,1.4,29.4,1.435,0.0,11.4
puppeteer,GoogleChrome,https://github.com/GoogleChrome/puppeteer,2019-08-25T03:13:57Z,2017-05-09T22:16:13Z,53204,1179,4979,5,JavaScript,470,2745,1408,49.14772727272727,474,Headless Chrome Node API,"['headless-chrome', 'testing', 'web', 'developer-tools', 'node-module', 'automation']",33,GoogleChrome/puppeteer,17358,20869,2016,128,239,Hierarchical,False,0,19.7,0.495,0.0,13.7
javascript-algorithms,mgechev,https://github.com/mgechev/javascript-algorithms,2019-08-19T00:10:28Z,2012-11-18T19:11:57Z,5482,250,993,29,JavaScript,5,52,670,21.492537313432834,12,JavaScript implementation of different computer science algorithms.,"['computer-science-algorithms', 'javascript', 'algorithm']",0,trekhleb/javascript-algorithms,4955,6246,135,5,128,Hierarchical,False,0,0.0,0.781,0.0,44.3
socket.io,socketio,https://github.com/socketio/socket.io,2019-08-21T17:07:55Z,2010-03-11T18:24:48Z,47316,1683,8613,111,JavaScript,400,2339,1715,29.32944606413994,8,Realtime application framework (Node.JS server),[],127,socketio/socket.io,3395,4522,401,7,43,Hierarchical,False,0,23.3,2.596,0.0,17.3
material-ui,mui-org,https://github.com/mui-org/material-ui,2019-08-27T02:27:20Z,2014-08-18T19:11:54Z,50008,1327,11702,413,JavaScript,347,8926,9133,31.84057812328917,2004,"React components for faster and easier web development. Build your own design system, or start with Material Design.","['material-ui', 'google-material', 'react-components', 'react', 'javascript', 'material-design', 'material']",236,mui-org/material-ui,113425,126154,7756,170,7164,Hierarchical,False,0.1,81.7,0.039,0.0,5.0
reveal.js,hakimel,https://github.com/hakimel/reveal.js,2019-08-22T11:21:20Z,2011-06-07T18:54:22Z,47915,1558,13880,237,JavaScript,398,1279,2202,20.435967302452315,107,The HTML Presentation Framework,"['presentations', 'slides', 'slideshow']",25,hakimel/reveal.js,6702,8682,2456,8,61,Hierarchical,False,0,65.6,3.628,0.0,37.3
Semantic-UI,Semantic-Org,https://github.com/Semantic-Org/Semantic-UI,2019-08-02T23:11:46Z,2013-04-08T23:32:04Z,46246,1435,4887,205,JavaScript,817,5184,6684,39.18312387791742,67,Semantic is a UI component framework based around useful principles from natural language.,"['ui', 'ui-components', 'flexbox', 'css-framework', 'dropdown', 'button', 'popup', 'sidebar', 'tooltip', 'semantic']",159,Semantic-Org/Semantic-UI,45068,71598,17053,10,255,Hierarchical,False,0.8,11.0,0.500,0.0,22.3
