,topics,project_name,useful_lines_of_code_(uloc),duplicate_uloc,architecture_type,core,core_size,central_size,propagation_cost,percent_files_overly_complex,useful_comment_density,percent_duplicate_uloc,overall_score,architecture_score,clarity_score,complexity_score,explanation,benchmark_selection,benchmark_count
32,"['flatbuffers', 'serialization', 'serialization-library', 'json-parser', 'marshalling', 'rpc', 'zero-copy', 'mmap', 'cross-platform', 'c-plus-plus', 'java', 'c-sharp', 'go', 'python', 'rust', 'javascript', 'typescript', 'grpc', 'c', 'protobuf']",google/flatbuffers,27625,890,Core-Periphery,True,43.7,43.7,43.503,18.3,14.3,3.2217194570135748,1.28,0.23,0.28,0.77,"{'useful_comment_density': 'useful_comment_density percentile: 27.906976744186046(+0.27906976744186046)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 93.7984496124031(+0.062015503875968964)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 29.45736434108527(+0.7054263565891473)', 'propagation_cost': 'propagation_cost percentile: 88.37209302325581(+0.11627906976744186)', 'core_size': 'core_size percentile: 88.37209302325581(+0.11627906976744186)'}",LOC,129
33,"['redis', 'redis-desktop-manager', 'database-gui']",uglide/RedisDesktopManager,5289,70,Multi-Core,False,4.3,33.3,6.202000000000001,0.0,5.7,1.3235016071090944,3.37,1.65,0.12,1.6,"{'useful_comment_density': 'useful_comment_density percentile: 11.842105263157896(+0.11842105263157895)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 13.81578947368421(+0.861842105263158)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 26.31578947368421(+0.736842105263158)', 'propagation_cost': 'propagation_cost percentile: 10.526315789473685(+0.8947368421052632)', 'core_size': 'core_size percentile: 24.342105263157894(+0.7565789473684211)'}",LOC,76
34,"['openpose', 'computer-vision', 'machine-learning', 'multi-threading', 'cpp', 'cpp11', 'caffe', 'opencv', 'human-pose-estimation', 'real-time', 'deep-learning', 'human-behavior-understanding', 'cvpr-2017']",CMU-Perceptual-Computing-Lab/openpose,21009,3610,Multi-Core,False,4.4,21.3,13.032,0.6,32.5,17.18311199961921,3.29,1.5,0.72,1.07,"{'useful_comment_density': 'useful_comment_density percentile: 71.66666666666667(+0.7166666666666667)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 5.833333333333333(+0.9416666666666668)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 86.66666666666667(+0.13333333333333328)', 'propagation_cost': 'propagation_cost percentile: 28.333333333333332(+0.7166666666666667)', 'core_size': 'core_size percentile: 21.666666666666668(+0.7833333333333333)'}",LOC,120
35,"['database-browser', 'sqlite', 'sqlitebrowser', 'c-plus-plus', 'cross-platform', 'database', 'database-gui']",sqlitebrowser/sqlitebrowser,81608,3128,Core-Periphery,True,21.3,23.1,18.456,11.8,33.1,3.832957553181061,2.81,0.94,0.85,1.02,"{'useful_comment_density': 'useful_comment_density percentile: 85.38461538461539(+0.8538461538461539)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 78.84615384615384(+0.2115384615384616)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 19.23076923076923(+0.8076923076923077)', 'propagation_cost': 'propagation_cost percentile: 48.46153846153846(+0.5153846153846154)', 'core_size': 'core_size percentile: 57.69230769230769(+0.4230769230769231)'}",LOC,130
36,[],google/googletest,36981,2613,Core-Periphery,True,32.5,16.6,33.235,8.3,40.5,7.065790541088666,2.18,0.49,0.89,0.8,"{'useful_comment_density': 'useful_comment_density percentile: 89.1156462585034(+0.891156462585034)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 70.06802721088435(+0.29931972789115646)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 49.65986394557823(+0.5034013605442177)', 'propagation_cost': 'propagation_cost percentile: 75.51020408163265(+0.2448979591836735)', 'core_size': 'core_size percentile: 75.51020408163265(+0.2448979591836735)'}",LOC,147
37,"['computer-vision', 'face-models', 'modern-cpp', 'machine-learning', 'image-processing', 'cross-platform', '3d-face', '3dmm', 'c-plus-plus', 'python', '3d-face-reconstruction', 'cpp14', 'cpp17']",EOSIO/eos,7347,440,Hierarchical,False,2.4,12.2,13.37,0.0,50.0,5.988838981897373,3.81,1.58,0.97,1.26,"{'useful_comment_density': 'useful_comment_density percentile: 97.40259740259741(+0.9740259740259741)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 6.4935064935064934(+0.9350649350649352)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 67.53246753246754(+0.3246753246753247)', 'propagation_cost': 'propagation_cost percentile: 32.467532467532465(+0.6753246753246753)', 'core_size': 'core_size percentile: 9.74025974025974(+0.9025974025974025)'}",LOC,77
38,"['websockets', 'http', 'pubsub', 'router', 'commercial', 'cross-platform']",uNetworking/uWebSockets,3381,144,Multi-Core,False,5.1,30.8,18.343,0.0,28.8,4.259094942324756,3.25,1.29,0.88,1.08,"{'useful_comment_density': 'useful_comment_density percentile: 88.23529411764706(+0.8823529411764706)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 23.529411764705884(+0.7647058823529411)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 68.62745098039215(+0.3137254901960784)', 'propagation_cost': 'propagation_cost percentile: 35.294117647058826(+0.6470588235294117)', 'core_size': 'core_size percentile: 35.294117647058826(+0.6470588235294117)'}",LOC,51
40,"['telegram', 'telegram-desktop', 'messenger', 'telegram-solution', 'multi-platform']",telegramdesktop/tdesktop,239037,9732,Core-Periphery,True,15.4,19.0,20.128,12.9,3.5,4.0713362366495565,2.38,1.31,0.01,1.06,"{'useful_comment_density': 'useful_comment_density percentile: 1.0(+0.01)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 83.0(+0.17)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 11.0(+0.89)', 'propagation_cost': 'propagation_cost percentile: 38.0(+0.62)', 'core_size': 'core_size percentile: 31.0(+0.69)'}",LOC,100
41,"['key-value-store', 'transactional', 'acid', 'distributed-database', 'foundationdb']",apple/foundationdb,166025,13548,Core-Periphery,True,51.9,51.9,47.004,13.4,31.6,8.160216834814033,1.82,0.31,0.75,0.76,"{'useful_comment_density': 'useful_comment_density percentile: 74.52830188679245(+0.7452830188679245)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 81.13207547169812(+0.18867924528301885)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 42.45283018867924(+0.5754716981132075)', 'propagation_cost': 'propagation_cost percentile: 83.9622641509434(+0.16037735849056603)', 'core_size': 'core_size percentile: 84.90566037735849(+0.15094339622641514)'}",LOC,106
43,"['javascript', 'multithreading', 'nodejs', 'napajs', 'runtime', 'parallel', 'multi-core']",Microsoft/napajs,25540,959,Core-Periphery,True,14.9,19.8,27.218000000000004,3.3,22.3,3.754894283476899,2.67,0.9,0.51,1.26,"{'useful_comment_density': 'useful_comment_density percentile: 50.78125(+0.5078125)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 38.28125(+0.6171875)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 35.9375(+0.640625)', 'propagation_cost': 'propagation_cost percentile: 64.84375(+0.3515625)', 'core_size': 'core_size percentile: 45.3125(+0.546875)'}",LOC,128
